Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
An Architectural; Framework,Michael D Soo; Christian S Jensen; Richard T Snodgrass,Abstract In this chapter we address the question of how to construct a DBMS architecturesupporting TSQL2. Our goal is to enumerate the changes that a conventional DBMS wouldneed to support TSQL2. We are concerned with modifying a conventional DBMS in aminimal fashion to support TSQL2. While a more elaborate architecture is possible (likelywith significant performance gains); our purpose is to describe the “first step” towards therealization of a temporal DBMS.,*,1995,*
Cursors in TSQL2,CS Jensen; RT Snodgrass; TYC Leung,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389368081 …,*,1994,*
Update in TSQL2,TYC Leung; CS Jensen; RT Snodgrass,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389369013 …,*,1994,*
A Survey of Valid-Time Selection and Projection in Temporal Query Languages,S Hsu; CS Jensen; RT Snodgrass,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389368063 …,*,1994,*
Valid-time Selection and Projection in TSQL2,Christian S Jensen; Richard T Snodgrass; Suchen Hsu,*,*,1994,*
ACM Sigmod Record; 23,CS Jensen; J Clifford; R Elmasri; S Gadia; P Hayes; S Jajodia; C Dyreson; F Grandi; W Kafer; N Kline; N Lorentzos; Y Mitsopoulos; A Montanari; D Nonen; E Peressi; B Pernici; J Roddick; N Sarda; M Scalas; A Segev; R Snodgrass; M Soo; A Tansel; P Tiberio; G Wiederhold,*,A consensus glossary of temporal database concepts,1994,*
Valid-time Selection and Projection in TSQL2,Suchen Hsu; Christian S Jensen; Richard T Snodgrass,Abstract Temporal databases have now been studied for more than a decade. During thatperiod of time; numerous query languages have been proposed for temporal databases.One of the essential components of a temporal query language is valid-time selection; whichallows the user to retrieve tuples according to their valid-time relationship. Often; thiscomponent is closely tied to another important component; valid-time projection; whichdefines the timestamps of the tuples in query results. Here; nine different temporal querylanguages; primarily SQL and QUEL extensions; are examined with a focus on valid-timeselection and projection. Based on that survey; the specific design of the valid-time selectionand projection components of the consensus temporal query language TSQL2 arepresented.,*,1994,*
The MULTICAL Project,Michael D Soo; Richard Snodgrass; Curtis E Dyreson; Nick Kline,Abstract We describe in detail a system architecture for supporting a time-stamp attributedomain in conventional relational database management systems. This architectureunderlies previously proposed temporal modifications to SQL. We describe the majorcomponents of the system and how they interact. For each component of the system; weprovide specifications for the routines exported by that component. Finally; we describe apreliminary design for a toolkit that aids in the generation of the components of the databasemanagement system that support time.,*,1993,*
The MULTICAL Project,Christian S Jensen,Abstract We describe in detail a system architecture for supporting a time-stamp attributedomain in conventional relational database management systems. This architectureunderlies previously proposed temporal modiﬁcations to SQL. We describe the majorcomponents of the system and how they interact. For each component of the system; weprovide speciﬁcations for the routines exported by that component. Finally; we describe apreliminary design for a toolkit that aids in the generation of the components of the databasemanagement system that support time.,*,1993,*
Efficient Evaluation of the Valid-Time Natural Join Michael D. Soo1 Richard T. Snodgrass1,Christian S Jensen,Abstract Joins are arguably the most important relational operators. Poor implementationsare tantamount to computing the Cartesian product of the input relations. In a temporaldatabase; the problem is more acute for two reasons. First; conventional techniques aredesigned for the optimization ofjoins with equality predicates; rather than inequalitypredicates which are prevalent in valid-time queries. Second; the presence of temporally-varying data dramatically increases the size of the database. These factors require newtechniques to efficiently evaluate valid-timejoins. We address this need for efficient joinevaluation in databases supporting valid-time. A new temporal-join algorithm based on tuplepartitioning is introduced. This algorithm avoids the quadratic cost of nested-loop evaluationmethods; it also avoids sorting. The algorithm is then adapted to an incremental mode of …,*,1993,*
A. Segev RT Snodgrass; A Glossary of Temporal Database Concepts,CS Jensen J Clifford SK Gadia,*,SIGMOD Record,1992,*
Replication Gives High Performance Query Processing in Relational Models Extended with Transaction Time,Christian S Jensen; Leo Mark,Our research project can be described as follows. We have defined a static rollbackrelational data model with tuple time-stamping [5; 6]. For each relation defined by the user;the system maintains a backlog that records all requests for changes to its user-definedrelation. The backlogs contain all the data necessary for answering any query withoutreplication. We have designed an extended query language that allows access to previousstates of relations (including backlogs) and allows to ask queries about the change history ofrelations. We also have developed vacuuming facilities to control otherwise ever-growingamounts of data in a transaction time database [7]. To support queries efficiently; wemaintain a cache of views stored as either actual data (true replication) or as pointerstructures (pseudo replication). A special cache index is used for fast identification of …,*,1990,*
Using Caching; Cache Indexing; and,Timos Sellis,ABSTRACT We present a framework for query processing in the relational model extendedwith transaction time. The framework integrates standard query optimization andcomputation techniques with new differential computation techniques. Differentialcomputation incrementally or decrementally computes a query from the cached and indexedresults of previous computations. The use of differential computation techniques is essentialin order to provide efﬁcient processing of queries that access very large temporal relations.Altemative query plans are integrated into a state transition network; where the state spaceincludes backlogs of base relations; cached results from previous computations; a cacheindex; and intermediate results; the transitions include standard relational algebra operators;operators for constructing differential ﬁles; operators for differential computation; and …,*,1989,*
Updates to the Editorial Board,K Selcuk Candan; Amol Deshpande; Daniel Kifer; Mohamed Mokbel; Jun Yang; Ke Yi; Christian S Jensen,It is of paramount importance for a scholarly journal such as ACM Transactions on DatabaseSystems to have a strong editorial board of respected; world-class scholars. The editorialboard plays a fundamental role in attracting the best submissions; in ensuring insightful andtimely handling of submissions; in maintaining the high technical standards of the journal;and in maintaining the reputation of the journal. Indeed; the journal's Associate Editors;along with the reviewers and authors they work with; are the primary reason that TODS issuch a respected journal. As of February 1; 2015; four Associate Editors; George Kollios;Paul Larson; Yufei Tao; and Johannes Gehrke; have ended their terms; having served onthe editorial board for seven; seven; seven; and four years; respectively.(They will stay onuntil they complete their current loads.) They have each provided very substantial high …,*,*,*
Temporal Fepressentation,Stéphane Demri; Christian S Jensen,Paper Session 4: Query. Processing and Data Mining Efficient Similarity Join of Large Sets ofMoving Object Trajectories........................................................................................................... 79 HuiDing; Goce Trajcevski; and Peter Scheuermann A Greedy Approach towards Parsimonious TemporalAggregation … H4 inf_fac also demonstrates conpetitive(faster for most of problems) solution speed. 5 Conclusions and future work In this paper; wehave examined the problem of de- signing new dynamic variable ordering (DVO) heuristics forsolving Disjunctive Temporal Problems (DTPs). The heuristics (TVO for short) is based on theevaluation of the potentiality of a variable's involvement in some conflicts with othervariables; which is again based on the estimation of each value's (or edge's) possibility of participatingin any negative cycles in the problem topology that is defined to be Disjunctive Temporal …,*,*,*
