The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Protonmotive Q cycle pathway of electron transfer and energy transduction in the three-subunit ubiquinol-cytochrome c oxidoreductase complex of Paracoccus denit...,XH Yang; Bernard L Trumpower,Abstract Ubiquinol-cytochrome c oxidoreductase (cytochrome bc1) complex fromParacoccus denitrificans consists of only three polypeptide subunits (Yang; X.; andTrumpower; BL (1986) J. Biol. Chem. 261; 12282-12289); whereas the analogouscomplexes of eukaryotic mitochondria consist of nine or more polypeptides (Schagger; H.;Link; TA; Engel; WD; and von Jagow; G.(1986) Methods Enzymol. 126; 224-237). Using thepurified three-subunit Paracoccus complex we have tested whether this simple cytochromebc1 complex has the same electron transfer pathway and proton translocation activity as thebc1 complexes of mitochondria. Under presteady state conditions; the effects of inhibitors onreduction of cytochromes b and c1 by quinol and oxidant-induced reduction of cytochrome bindicate a cyclic electron transfer pathway and two routes of cytochrome b reduction in the …,Journal of Biological Chemistry,1988,62
Chemically stable and mechanically durable superamphiphobic aluminum surface with a micro/nanoscale binary structure,Shan Peng; Xiaojun Yang; Dong Tian; Wenli Deng,We developed a simple fabrication method to prepare a superamphiphobic aluminumsurface. On the basis of a low-energy surface and the combination of micro-and nanoscaleroughness; the resultant surface became super-repellent toward a wide range of liquids withsurface tensions of 25.3–72.1 mN m–1. The applied approach involved (1) the formation ofan irregular microplateau structure on an aluminum surface;(2) the fabrication of ananoplatelet structure; and (3) fluorination treatment. The chemical stability and mechanicaldurability of the superamphiphobic surface were evaluated in detail. The resultsdemonstrated that the surface presented an excellent chemical stability toward coolcorrosive liquids (HCl/NaOH solutions; 25° C) and 98% concentrated sulfuric acid; hotliquids (water; HCl/NaOH solutions; 30–100° C); solvent immersion; high temperature …,ACS applied materials & interfaces,2014,59
Synthesis and biological evaluation of imidazol-2-one derivatives as potential antitumor agents,Na Xue; Xiaochun Yang; Rui Wu; Jing Chen; Qiaojun He; Bo Yang; Xiuyang Lu; Yongzhou Hu,Abstract A new series of aryl substituted imidazol-2-one derivatives structurally related tocombretastatin A-4 (CA-4) were synthesized and evaluated for their cytotoxic activities invitro against various human cancer cell lines including MDR cell line. The cytotoxic effects ofcompounds 7b and 7i proved to be similar to or greater than that of docetaxel. The highlyactive compound 7b also exhibited excellent inhibitory activity on tumor growth in vivo.,Bioorganic & medicinal chemistry,2008,58
Efficiently indexing large sparse graphs for similarity search,Guoren Wang; Bin Wang; Xiaochun Yang; Ge Yu,The graph structure is a very important means to model schemaless data with complicatedstructures; such as protein-protein interaction networks; chemical compounds; knowledgequery inferring systems; and road networks. This paper focuses on the index structure forsimilarity search on a set of large sparse graphs and proposes an efficient indexingmechanism by introducing the Q-Gram idea. By decomposing graphs to small grams(organized by κ-Adjacent Tree patterns) and pairing-up on those κ-Adjacent Tree patterns;the lower bound estimation of their edit distance can be calculated for candidate filtering.Furthermore; we have developed a series of techniques for inverted index construction andonline query processing. By building the candidate set for the query graph before the exactedit distance calculation; the number of graphs need to proceed into exact matching can …,IEEE Transactions on Knowledge and Data Engineering,2012,57
Distance-based outlier detection on uncertain data,Bin Wang; Gang Xiao; Hao Yu; Xiaochun Yang,The technique of outlier detection is useful in many real world applications such as detectionof network intrusion. It has been studied intensively on deterministic data. However; it is stilla novel research field on uncertain data. To our best knowledge; this paper is the firstone tofocus on distance-based outlier detection on uncertain data; in which each data is affiliatedwith a certain confidence value. In this paper; we propose a new definition of outlier onuncertain data. Based on the properties we discovered; both dynamic programmingapproach (DPA) and grid-based pruning approach (GPA) are used for detecting outliers onuncertain dataefficiently. Detailed analysis and thorough experimental results demonstratethe efficiency and scalability of our method.,Computer and Information Technology; 2009. CIT'09. Ninth IEEE International Conference on,2009,55
Rationale; design and organization of the Second Chinese Cardiac Study (CCS-2): a randomized trial of clopidogrel plus aspirin; and of metoprolol; among patients...,Zheng-Ming Chen; Second Chinese Cardiac Study (CCS-2) Collaborative Group,Assessing combined anti-platelet therapy in suspected acute myocardial infarction Aspirinhas been shown to be effective in the emergency treatment of acute myocardial infarction. Itirreversibly inhibits platelet cyclo-oxygenase and thereby prevents the formation of theplatelet aggregating agent thromboxane A2. Clopidogrel is an anti-platelet agent that acts bya different mechanism; inhibiting adenosine diphosphate-induced platelet aggregation.Simultaneous inhibition of both of these pathways might produce significantly greater anti-platelet effects than inhibition of either alone. The Second Chinese Cardiac Study (CCS-2)will reliably determine whether adding oral clopidogrel to aspirin for up to 4 weeks inhospital after suspected acute myocardial infarction can produce a greater reduction in therisk of major vascular events than can be achieved by giving aspirin alone. In order to be …,Journal of Cardiovascular Risk,2000,55
内蒙古典型草原生态系统服务功能价值评估研究,闵庆文， 刘寿东， 杨霞,摘要: 本文参照Constanza 等的思路与方法; 以内蒙古典型草原生态系统有机物生产为基础;分别采用市场价值法; 替代市场法等估算其主要服务功能的经济价值. 结果表明:内蒙古典型草原生态系统服务功能的总经济价值3325. 9× 108 元a; 其中; 气体调节价值272. 3×108 元a; 占8. 19%; 水土保持价值2988. 0× 108 元a; 占89. 84%; 涵养水源价值为18. 2× 108元a; 占0. 55%; 有机物质生产价值27. 52× 108 元a; 占0. 83%; 生物多样性保护价值16. 1× 108元a; 占0. 48%; 生态旅游价值3. 8× 108 元a; 占0. 11%; 在各种服务功能中;水土保持价值最为重要; 因此; 加强草原生态环境建设对于维持区域生态安全具有重要意义.,*,2004,54
Protective effect of C-phycocyanin against carbon tetrachloride-induced hepatocyte damage in vitro and in vivo,Yu Ou; Shan Zheng; Lin Lin; Qizhou Jiang; Xuegan Yang,Abstract This study focused on the hepatoprotective activity of C-phycocyanin (C-PC)against carbon tetrachloride-induced hepatocyte damage in vitro and in vivo. In in vitrostudy; human hepatocyte cell line L02 was used. C-PC showed its capability to reverse CCl4-induced L02 cells viability loss; alanine transaminase (ALT) leakage and morphologicalchanges. C-PC also showed the following positive effects: prevent the CCl 4-inducedoverproduction of intracellular reactive oxygen species (ROS) and malondialdehyde (MDA);prevent changes in superoxide dismutase (SOD) activity; and reduce glutathione (GSH)level. In vivo; C-PC showed its capability to decrease serum ALT and aspartatetransaminase (AST) levels in CCl 4-induced liver damage in mice. The histologicalobservations supported the results obtained from serum enzymes assays. C-PC also …,Chemico-biological interactions,2010,53
One-pot low temperature synthesis of MFe2O4 (M= Co; Ni; Zn) superparamagnetic nanocrystals,Chaoquan Hu; Zhenghong Gao; Xiaorui Yang,Abstract Magnetic MFe 2 O 4 (M= Co; Ni; Zn) nanocrystals with a diameter about 30 nm anda nearly spherical shape were synthesized via a simple hydrothermal approach. X-raydiffraction; scanning electron microscopy; and transmission electron microscopy have beenused to investigate the as-prepared magnetic MFe 2 O 4 (M= Co; Ni; Zn) nanocrystals.Magnetic properties of the as-prepared samples have been detected by a vibrating samplemagnetometer at room temperature and the results show that the as-prepared magnetic MFe2 O 4 nanocrystals are a type characteristic of superparamagnetic materials. Thesesuperparamagnetic nanocrystals are believed to be promising for wide engineeringapplications; such as drug delivery; bioseparation; and magnetic resonance imaging.,Journal of Magnetism and Magnetic Materials,2008,53
Highly efficient and large-scale fabrication of superhydrophobic alumina surface with strong stability based on self-congregated alumina nanowires,Shan Peng; Dong Tian; Xiaojun Yang; Wenli Deng,In this study; a large-area superhydrophobic alumina surface with a series of superiorproperties was fabricated via an economical; simple; and highly effective one-stepanodization process; and subsequently modified with low-surface-energy film. The effects ofthe anodization parameters including electrochemical anodization time; current density; andelectrolyte temperature on surface morphology and surface wettability were investigated indetail. The hierarchical alumina pyramids-on-pores (HAPOP) rough structure which wasproduced quickly through the one-step anodization process together with a low-surface-energy film deposition [1 H; 1 H; 2 H; 2 H-perfluorodecyltriethoxysilane (PDES) and stearicacid (STA)] confer excellent superhydrophobicity and an extremely low sliding angle. Boththe PDES-modified superhydrophobic (PDES-MS) and the STA-modified …,ACS applied materials & interfaces,2014,52
Multifunctional microporous organic polymers,Buyi Li; Zhenhong Guan; Xinjia Yang; Wei David Wang; Wei Wang; Irshad Hussain; Kunpeng Song; Bien Tan; Tao Li,Functional microporous organic polymers (MOPs) are attractive in a wide range ofapplications including gas separation; catalysis; and energy storage. There is a lack of cost-effective processes to produce functional MOPs at industrial scale; which in fact limits theirpractical applications. Here; we propose a new low-cost strategy; based on the Schollreaction; which can directly link rigid building blocks to obtain MOPs with high surface areaand highly microporous structures. More importantly; this method is suitable for variousbuilding blocks and can be used as a general bottom-up approach to produce a variety ofmultifunctional MOPs. Multifaceted applications of these materials are also demonstrated bytheir large gas storage capacity; high catalytic activity; luminescence and semiconductingproperties.,Journal of Materials Chemistry A,2014,51
